system:index,date,temperature_2m,.geo
20250114_18_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_19_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_20_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_21_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_22_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_23_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_24_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_25_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_26_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_27_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_28_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_29_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_30_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_31_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_32_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_33_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_34_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_35_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_36_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_37_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_38_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_39_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_40_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_41_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_42_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_43_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_44_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_45_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_46_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_47_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_48_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_49_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_50_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_51_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_52_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_53_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_54_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_55_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_56_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_57_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_58_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250114_59_0,2025-01-14,284.48060671488446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250115_0_0,2025-01-15,284.8019390106201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250115_1_0,2025-01-15,284.8019390106201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250115_2_0,2025-01-15,284.8019390106201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20250115_3_0,2025-01-15,284.8019390106201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
